,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,989686.0,1208.0,819.2764900662252,798883.0,1383.0,577.644974692697,304940.0,482.0,632.655601659751,684746.0,726.0,943.1763085399449,267505.0,497.0,538.2394366197183,531378.0,886.0,599.7494356659142,240314.0,409.0,587.5647921760391,749372.0,799.0,937.8873591989988,384351.0,555.0,692.5243243243243,414532.0,828.0,500.64251207729467
20170104,1306815.0,1456.0,897.5377747252747,1106938.0,1891.0,585.3717609730302,430888.0,440.0,979.290909090909,875927.0,1016.0,862.132874015748,306841.0,561.0,546.9536541889483,800097.0,1330.0,601.5766917293233,233667.0,411.0,568.5328467153284,1073148.0,1045.0,1026.9358851674642,488750.0,684.0,714.546783625731,618188.0,1207.0,512.169014084507
20170105,1562739.0,2215.0,705.5255079006772,1676995.0,2060.0,814.0752427184466,685441.0,1091.0,628.2685609532539,877298.0,1124.0,780.5142348754448,920478.0,1120.0,821.8553571428571,756517.0,940.0,804.8053191489362,679735.0,1084.0,627.0618081180812,883004.0,1131.0,780.7285587975243,1124002.0,1210.0,928.9272727272727,552993.0,850.0,650.58
20170106,540711.0,1121.0,482.3470115967886,1004628.0,1415.0,709.9844522968198,328336.0,653.0,502.8116385911179,212375.0,468.0,453.79273504273505,683822.0,952.0,718.3004201680673,320806.0,463.0,692.8855291576674,430220.0,896.0,480.15625,110491.0,225.0,491.0711111111111,856002.0,1123.0,762.2457702582369,148626.0,292.0,508.9931506849315
20170109,665062.0,1045.0,636.4229665071771,753626.0,1299.0,580.158583525789,459857.0,708.0,649.5155367231638,205205.0,337.0,608.9169139465876,535687.0,890.0,601.8955056179775,217939.0,409.0,532.8581907090464,385444.0,635.0,606.9984251968503,279618.0,410.0,681.9951219512195,562487.0,797.0,705.7553324968633,191139.0,502.0,380.7549800796813
20170110,475404.0,869.0,547.0701956271577,612755.0,863.0,710.0289687137891,337990.0,588.0,574.8129251700681,137414.0,281.0,489.01779359430606,306669.0,449.0,683.0044543429844,306086.0,414.0,739.3381642512078,246523.0,500.0,493.046,228881.0,369.0,620.2737127371274,396110.0,537.0,737.635009310987,216645.0,326.0,664.5552147239264
20170111,620924.0,760.0,817.0052631578948,807296.0,1064.0,758.7368421052631,154680.0,246.0,628.780487804878,466244.0,514.0,907.0894941634241,340450.0,332.0,1025.4518072289156,466846.0,732.0,637.7677595628415,216876.0,310.0,699.6,404048.0,450.0,897.8844444444444,516348.0,512.0,1008.4921875,290948.0,552.0,527.0797101449275
20170112,451737.0,908.0,497.50770925110135,678406.0,799.0,849.0688360450563,275099.0,511.0,538.3542074363992,176638.0,397.0,444.93198992443325,412029.0,427.0,964.9391100702576,266377.0,372.0,716.0672043010753,331091.0,642.0,515.7180685358255,120646.0,266.0,453.5563909774436,603806.0,672.0,898.5208333333334,74600.0,127.0,587.4015748031496
