,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,7875343.0,2394.0,3289.6169590643276,6689566.0,2002.0,3341.4415584415583,1971713.0,495.0,3983.258585858586,5903630.0,1899.0,3108.809899947341,1860518.0,574.0,3241.320557491289,4829048.0,1428.0,3381.6862745098038,2380795.0,1043.0,2282.641418983701,5494548.0,1351.0,4067.0229459659513,3289584.0,861.0,3820.6550522648085,3399982.0,1141.0,2979.826468010517
20170104,8545956.0,1928.0,4432.54979253112,7333857.0,2042.0,3591.5068560235063,3572144.0,950.0,3760.1515789473683,4973812.0,978.0,5085.6973415132925,3550689.0,886.0,4007.5496613995483,3783168.0,1156.0,3272.636678200692,2346547.0,671.0,3497.0894187779436,6199409.0,1257.0,4931.908512330947,3382175.0,794.0,4259.666246851385,3951682.0,1248.0,3166.411858974359
20170105,11704865.0,3013.0,3884.787587122469,10221542.0,2763.0,3699.4361201592474,5149855.0,1514.0,3401.489431968296,6555010.0,1499.0,4372.92194796531,5829802.0,1415.0,4120.001413427562,4391740.0,1348.0,3257.967359050445,4601991.0,1447.0,3180.366966136835,7102874.0,1566.0,4535.679438058748,5843132.0,1461.0,3999.4058863791925,4378410.0,1302.0,3362.8341013824884
20170106,8928221.0,2362.0,3779.941151566469,9364536.0,2401.0,3900.2648896293213,2429967.0,885.0,2745.7254237288134,6498254.0,1477.0,4399.630331753555,4062077.0,792.0,5128.885101010101,5302459.0,1609.0,3295.4996892479803,3875996.0,1187.0,3265.3715248525696,5052225.0,1175.0,4299.765957446809,5688429.0,1245.0,4569.019277108434,3676107.0,1156.0,3180.0233564013843
20170109,5009814.0,1437.0,3486.300626304802,7766356.0,1773.0,4380.347433728144,2931938.0,851.0,3445.285546415981,2077876.0,586.0,3545.863481228669,5277197.0,929.0,5680.51345532831,2489159.0,844.0,2949.240521327014,2265807.0,729.0,3108.1028806584363,2744007.0,708.0,3875.7161016949153,4722632.0,819.0,5766.339438339438,3043724.0,954.0,3190.4863731656183
20170110,14884658.0,3088.0,4820.161269430052,12024657.0,3340.0,3600.196706586826,6802148.0,1318.0,5160.962063732929,8082510.0,1770.0,4566.389830508475,5401494.0,1418.0,3809.2341325811003,6623163.0,1922.0,3445.974505723205,4470413.0,1192.0,3750.346476510067,10414245.0,1896.0,5492.745253164557,6430384.0,1555.0,4135.295176848875,5594273.0,1785.0,3134.04649859944
20170111,10178236.0,3149.0,3232.2121308351857,12965906.0,2985.0,4343.687102177554,5500899.0,1731.0,3177.8734835355285,4677337.0,1418.0,3298.5451339915376,8408167.0,1876.0,4481.965351812367,4557739.0,1109.0,4109.7736699729485,5072133.0,1827.0,2776.208538587849,5106103.0,1322.0,3862.4077155824507,8716487.0,1841.0,4734.648017381857,4249419.0,1144.0,3714.527097902098
20170112,6266325.0,2706.0,2315.7150776053213,9748223.0,2035.0,4790.281572481573,2946715.0,1324.0,2225.615558912387,3319610.0,1382.0,2402.0332850940667,5840536.0,934.0,6253.250535331906,3907687.0,1101.0,3549.216167120799,3078535.0,1388.0,2217.96469740634,3187790.0,1318.0,2418.657056145675,6836552.0,1155.0,5919.092640692641,2911671.0,880.0,3308.7170454545453
