,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,16266569.0,2919.0,5572.651250428229,14640549.0,1875.0,7808.2928,6617950.0,1237.0,5350.0,9648619.0,1682.0,5736.396551724138,8508392.0,796.0,10688.934673366834,6132157.0,1079.0,5683.185356811863,6654853.0,1383.0,4811.8966015907445,9611716.0,1536.0,6257.627604166667,10207296.0,1036.0,9852.602316602317,4433253.0,839.0,5283.972586412396
20170104,23343324.0,3785.0,6167.324702774108,22291983.0,3376.0,6603.075533175355,10390508.0,1407.0,7384.867093105899,12952816.0,2378.0,5446.936921783011,15173360.0,1738.0,8730.35673187572,7118623.0,1638.0,4345.923687423688,6573502.0,1638.0,4013.126984126984,16769822.0,2147.0,7810.816022356777,11968295.0,1236.0,9683.086569579287,10323688.0,2140.0,4824.153271028037
20170105,31601285.0,4988.0,6335.462109061748,27543301.0,4275.0,6442.877426900584,7186219.0,963.0,7462.32502596054,24415066.0,4025.0,6065.854906832298,4684749.0,534.0,8772.938202247191,22858552.0,3741.0,6110.278535151029,12526219.0,2537.0,4937.413874655104,19075066.0,2451.0,7782.56466748266,15254435.0,2247.0,6788.800623052959,12288866.0,2028.0,6059.598619329388
20170106,18009807.0,2390.0,7535.48410041841,17450498.0,2888.0,6042.41620498615,6671011.0,1169.0,5706.59623609923,11338796.0,1221.0,9286.483210483211,8576613.0,1476.0,5810.713414634146,8873885.0,1412.0,6284.621104815864,6898359.0,1189.0,5801.815811606392,11111448.0,1201.0,9251.83014154871,10551487.0,1661.0,6352.490668272125,6899011.0,1227.0,5622.665851670742
20170109,11477556.0,1873.0,6127.899626268019,14038673.0,5440.0,2580.638419117647,3676067.0,852.0,4314.632629107981,7801489.0,1021.0,7641.027424094025,6479359.0,2692.0,2406.8941307578007,7559314.0,2748.0,2750.8420669577877,3311327.0,876.0,3780.0536529680367,8166229.0,997.0,8190.801404212638,7274524.0,2352.0,3092.9098639455783,6764149.0,3088.0,2190.4627590673576
20170110,37281030.0,5000.0,7456.206,25409994.0,4538.0,5599.381665932128,19363878.0,2374.0,8156.646166807077,17917152.0,2626.0,6822.982482863671,13200247.0,2160.0,6111.225462962963,12209747.0,2378.0,5134.4604709840205,14955304.0,2765.0,5408.7898734177215,22325726.0,2235.0,9989.139149888144,16133200.0,2540.0,6351.653543307087,9276794.0,1998.0,4643.04004004004
20170111,25445570.0,5408.0,4705.171967455622,32953197.0,4612.0,7145.099089332177,11920549.0,3248.0,3670.1197660098524,13525021.0,2160.0,6261.583796296296,21704198.0,2991.0,7256.502173186225,11248999.0,1621.0,6939.542874768661,10644748.0,2911.0,3656.7323943661972,14800822.0,2497.0,5927.4417300760915,23051330.0,2884.0,7992.832871012482,9901867.0,1728.0,5730.247106481482
20170112,9882976.0,2367.0,4175.317279256443,14978995.0,2609.0,5741.278267535454,3501305.0,1224.0,2860.543300653595,6381671.0,1143.0,5583.264216972879,7660036.0,1192.0,6426.204697986577,7318959.0,1417.0,5165.108680310515,4974628.0,1488.0,3343.1639784946237,4908348.0,879.0,5584.013651877133,11285110.0,1692.0,6669.6867612293145,3693885.0,917.0,4028.227917121047
