,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,799772.0,758.0,1055.108179419525,1147481.0,714.0,1607.1162464985994,607104.0,600.0,1011.84,192668.0,158.0,1219.4177215189873,902549.0,557.0,1620.375224416517,244932.0,157.0,1560.0764331210191,519126.0,496.0,1046.625,280646.0,262.0,1071.1679389312976,943004.0,427.0,2208.440281030445,204477.0,287.0,712.4634146341464
20170104,834150.0,626.0,1332.5079872204474,1053632.0,897.0,1174.6176142697882,211868.0,205.0,1033.5024390243902,622282.0,421.0,1478.104513064133,344866.0,189.0,1824.6878306878307,708766.0,708.0,1001.0819209039548,294942.0,282.0,1045.8936170212767,539208.0,344.0,1567.4651162790697,600389.0,439.0,1367.6287015945331,453243.0,458.0,989.6135371179039
20170105,747402.0,519.0,1440.0809248554913,1140011.0,823.0,1385.1895504252734,559985.0,423.0,1323.8416075650118,,,,907073.0,685.0,1324.1941605839415,232938.0,138.0,1687.9565217391305,304975.0,351.0,868.8746438746439,442427.0,168.0,2633.4940476190477,779487.0,514.0,1516.511673151751,360524.0,309.0,1166.7443365695792
20170106,617545.0,732.0,843.6407103825137,1369881.0,827.0,1656.4461910519951,297121.0,347.0,856.256484149856,320424.0,385.0,832.2701298701298,673448.0,246.0,2737.5934959349593,696433.0,581.0,1198.6798623063682,503110.0,614.0,819.3973941368079,114435.0,118.0,969.7881355932203,1198606.0,616.0,1945.7889610389611,171275.0,211.0,811.7298578199052
20170109,1029940.0,997.0,1033.039117352056,2174459.0,1178.0,1845.890492359932,478695.0,692.0,691.7557803468208,551245.0,305.0,1807.360655737705,1535495.0,800.0,1919.36875,638964.0,378.0,1690.3809523809523,443026.0,614.0,721.5407166123779,586914.0,383.0,1532.4125326370756,1570797.0,687.0,2286.4585152838426,603662.0,491.0,1229.4541751527495
20170110,570042.0,675.0,844.5066666666667,846700.0,517.0,1637.7176015473888,299436.0,328.0,912.9146341463414,270606.0,347.0,779.8443804034582,629048.0,334.0,1883.377245508982,217652.0,183.0,1189.3551912568305,377018.0,467.0,807.3190578158458,193024.0,208.0,928.0,718698.0,388.0,1852.3144329896907,128002.0,129.0,992.2635658914729
20170111,620716.0,741.0,837.6734143049932,774917.0,540.0,1435.0314814814815,459517.0,562.0,817.6459074733096,161199.0,179.0,900.5530726256983,649086.0,428.0,1516.556074766355,125831.0,112.0,1123.4910714285713,294245.0,364.0,808.3653846153846,326471.0,377.0,865.9708222811671,575900.0,319.0,1805.3291536050156,199017.0,221.0,900.5294117647059
20170112,1026583.0,768.0,1336.6966145833333,960535.0,686.0,1400.1967930029155,407761.0,384.0,1061.8776041666667,618822.0,384.0,1611.515625,520638.0,338.0,1540.3491124260354,439897.0,348.0,1264.0718390804598,513386.0,512.0,1002.70703125,513197.0,256.0,2004.67578125,761441.0,494.0,1541.3785425101214,199094.0,192.0,1036.9479166666667
