,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170119,6083934.0,2560.0,2376.53671875,5546764.0,2484.0,2232.9967793880837,1986231.0,1073.0,1851.1006523765145,4097703.0,1487.0,2755.684599865501,2481396.0,959.0,2587.482794577685,3065368.0,1525.0,2010.0773770491803,3388213.0,1232.0,2750.1728896103896,2158551.0,1252.0,1724.082268370607,2024381.0,1222.0,1656.6129296235679,4059553.0,1338.0,3034.0455904334826
20170120,5751834.0,2081.0,2763.9759730898604,3949377.0,1711.0,2308.227352425482,964598.0,423.0,2280.373522458629,4787236.0,1658.0,2887.3558504221955,941492.0,329.0,2861.677811550152,3007885.0,1382.0,2176.472503617945,1712732.0,632.0,2710.018987341772,2236645.0,1079.0,2072.886932344764,1559391.0,775.0,2012.1174193548386,4192443.0,1306.0,3210.1401225114855
20170123,7037982.0,3182.0,2211.810810810811,5461190.0,2821.0,1935.9057071960299,4357088.0,2169.0,2008.8003688335639,2680894.0,1013.0,2646.4896347482722,3680085.0,1812.0,2030.9519867549668,1781105.0,1009.0,1765.2180376610506,3472857.0,1563.0,2221.9174664107486,1988333.0,1258.0,1580.5508744038157,3055748.0,1796.0,1701.4187082405344,3982234.0,1386.0,2873.184704184704
20170124,4065139.0,1914.0,2123.8970741901776,3773554.0,2006.0,1881.1335992023928,1693925.0,937.0,1807.8175026680897,2371214.0,977.0,2427.03582395087,1845898.0,933.0,1978.454448017149,1927656.0,1073.0,1796.510717614166,2195553.0,1148.0,1912.5026132404182,1578001.0,858.0,1839.1620046620046,1941177.0,1003.0,1935.370887337986,2123962.0,911.0,2331.4621295279912
20170125,2607820.0,1696.0,1537.629716981132,3514184.0,1348.0,2606.961424332344,2200820.0,1507.0,1460.3981420039813,407000.0,189.0,2153.4391534391534,2930755.0,1013.0,2893.1441263573543,583429.0,335.0,1741.579104477612,2515226.0,834.0,3015.8585131894483,998958.0,514.0,1943.4980544747082,1201076.0,921.0,1304.099891422367,1406744.0,775.0,1815.1535483870969
20170126,3539904.0,2006.0,1764.6580259222333,3553358.0,1738.0,2044.5097813578827,1531893.0,1038.0,1475.8121387283236,2008011.0,968.0,2074.3915289256197,1928658.0,757.0,2547.764861294584,1624700.0,981.0,1656.1671763506627,1875008.0,735.0,2551.031292517007,1678350.0,1003.0,1673.3300099700898,1079794.0,752.0,1435.8962765957447,2460110.0,1254.0,1961.810207336523
20170203,3845672.0,2477.0,1552.5522809850627,7564300.0,1843.0,4104.340748779165,961900.0,729.0,1319.4787379972565,2883772.0,1748.0,1649.7551487414187,3046100.0,420.0,7252.619047619048,4518200.0,1423.0,3175.1229796205203,6322220.0,1252.0,5049.696485623003,1242080.0,591.0,2101.65820642978,2220820.0,1550.0,1432.7870967741935,1624852.0,927.0,1752.80690399137
20170206,5839762.0,2590.0,2254.7343629343627,6237285.0,2328.0,2679.2461340206187,2411051.0,1371.0,1758.6075857038659,3428711.0,1219.0,2812.7243642329777,3493825.0,983.0,3554.2472024415056,2743460.0,1345.0,2039.7472118959108,3405855.0,922.0,3693.9859002169196,2831430.0,1406.0,2013.8193456614508,2027509.0,1059.0,1914.5505193578847,3812253.0,1531.0,2490.041149575441
20170207,6347814.0,2459.0,2581.4615697437985,6906063.0,3362.0,2054.153182629387,2615570.0,1270.0,2059.503937007874,3732244.0,1189.0,3138.977291841884,4208311.0,1853.0,2271.0798704803024,2697752.0,1509.0,1787.7746852220014,3959392.0,1680.0,2356.7809523809524,2946671.0,1682.0,1751.885255648038,1716023.0,969.0,1770.921568627451,4631791.0,1490.0,3108.5845637583893
20170208,7596387.0,2726.0,2786.6423330887746,6159001.0,2886.0,2134.0959805959806,1567318.0,822.0,1906.712895377129,6029069.0,1904.0,3166.527836134454,2024318.0,830.0,2438.9373493975904,4134683.0,2056.0,2011.032587548638,2993801.0,1201.0,2492.7568692756035,3165200.0,1685.0,1878.4569732937684,1786345.0,1025.0,1742.7756097560975,5810042.0,1701.0,3415.662551440329
