,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,9450189.0,2574.0,3671.402097902098,9831796.0,2612.0,3764.0872894333843,3942184.0,979.0,4026.7456588355467,5508005.0,1595.0,3453.294670846395,3812101.0,953.0,4000.105981112277,6019695.0,1659.0,3628.508137432188,4251739.0,1468.0,2896.2799727520437,5198450.0,1106.0,4700.226039783001,5869989.0,1354.0,4335.294682422452,3961807.0,1258.0,3149.2901430842608
20170104,15371933.0,3831.0,4012.5118767945705,13798408.0,3966.0,3479.1749873928393,5087079.0,1374.0,3702.386462882096,10284854.0,2457.0,4185.939763939764,5193917.0,1623.0,3200.1953173136167,8604491.0,2343.0,3672.424669227486,5084703.0,1409.0,3608.731724627395,10287230.0,2422.0,4247.411230388109,6710475.0,1516.0,4426.434696569921,7087933.0,2450.0,2893.0338775510204
20170105,18322771.0,5721.0,3202.7217269708094,18261251.0,4896.0,3729.8306781045753,10365869.0,3374.0,3072.278897451097,7956902.0,2347.0,3390.243715381338,12167505.0,2848.0,4272.298103932584,6093746.0,2048.0,2975.4619140625,7805838.0,2867.0,2722.650156958493,10516933.0,2854.0,3684.980028030834,11473725.0,2639.0,4347.7548313755215,6787526.0,2257.0,3007.3221089942404
20170106,8456495.0,3652.0,2315.579134720701,17204055.0,3817.0,4507.219020172911,6242400.0,2748.0,2271.6157205240174,2214095.0,904.0,2449.2201327433627,12932550.0,2800.0,4618.767857142857,4271505.0,1017.0,4200.103244837758,5008185.0,2195.0,2281.633257403189,3448310.0,1457.0,2366.71928620453,11794450.0,2226.0,5298.495058400718,5409605.0,1591.0,3400.1288497800124
20170109,7775701.0,2896.0,2684.9796270718234,10388693.0,2861.0,3631.14051031108,3181891.0,1337.0,2379.873597606582,4593810.0,1559.0,2946.6388710711994,5038063.0,1114.0,4522.498204667863,5350630.0,1747.0,3062.7532913566115,3135932.0,1417.0,2213.0783345095274,4639769.0,1479.0,3137.0987153482083,5752684.0,1434.0,4011.6345885634587,4636009.0,1427.0,3248.779957953749
20170110,33050412.0,10623.0,3111.212651793279,27222763.0,7805.0,3487.86201153107,12804579.0,3370.0,3799.578338278932,20245833.0,7253.0,2791.373638494416,10504928.0,2586.0,4062.230471771075,16717835.0,5219.0,3203.264035255796,12568842.0,5388.0,2332.7472160356347,20481570.0,5235.0,3912.429799426934,16239699.0,3924.0,4138.557339449541,10983064.0,3881.0,2829.9572275186806
20170111,42974761.0,20039.0,2144.556165477319,44364146.0,15003.0,2957.0183296674,26115248.0,12598.0,2072.967772662327,16859513.0,7441.0,2265.7590377637416,28843409.0,9709.0,2970.7909156452774,15520737.0,5294.0,2931.759916887042,19135116.0,10130.0,1888.9551826258637,23839645.0,9909.0,2405.8578060349178,26829263.0,7516.0,3569.619877594465,17534883.0,7487.0,2342.043942834246
20170112,14801683.0,6638.0,2229.8407652907504,21834106.0,8727.0,2501.90283029678,9965978.0,4614.0,2159.943216298223,4835705.0,2024.0,2389.1823122529645,16310858.0,6266.0,2603.073412065113,5523248.0,2461.0,2244.3104429093864,6893797.0,3335.0,2067.105547226387,7907886.0,3303.0,2394.1525885558585,13853485.0,4692.0,2952.575660699062,7980621.0,4035.0,1977.8490706319703
