,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170221,14980241.0,6233.0,2403.3757420182897,14797331.0,3428.0,4316.60764294049,8559170.0,3763.0,2274.5601913366995,6421071.0,2470.0,2599.623886639676,8291033.0,1534.0,5404.845501955671,6506298.0,1894.0,3435.2154171066527,6971443.0,3454.0,2018.3679791546033,8008798.0,2779.0,2881.8992443324937,9740591.0,1831.0,5319.820316766794,5056740.0,1597.0,3166.399499060739
20170222,6173306.0,4308.0,1432.9865366759518,8825855.0,4087.0,2159.4947394176656,2847072.0,1763.0,1614.9018718094158,3326234.0,2545.0,1306.9681728880157,4866061.0,2148.0,2265.3915270018624,3959794.0,1939.0,2042.183599793708,3205520.0,2567.0,1248.7417218543046,2967786.0,1741.0,1704.6444572085009,5805769.0,2564.0,2264.340483619345,3020086.0,1523.0,1982.9848982271833
20170223,7977727.0,3335.0,2392.12203898051,8469507.0,3048.0,2778.709645669291,4990336.0,2406.0,2074.1213632585204,2987391.0,929.0,3215.7061356297095,6424389.0,1995.0,3220.245112781955,2045118.0,1053.0,1942.1823361823363,2642900.0,1693.0,1561.0750147666863,5334827.0,1642.0,3248.9811205846527,5786063.0,1583.0,3655.1250789639926,2683444.0,1465.0,1831.7023890784983
20170224,3886207.0,1603.0,2424.333749220212,4477199.0,1986.0,2254.3801611278955,741807.0,475.0,1561.6989473684212,3144400.0,1128.0,2787.5886524822695,1438156.0,496.0,2899.5080645161293,3039043.0,1490.0,2039.6261744966444,1428327.0,865.0,1651.2450867052023,2457880.0,738.0,3330.460704607046,2790901.0,1082.0,2579.390942698706,1686298.0,904.0,1865.3738938053098
20170227,5605448.0,2115.0,2650.330023640662,5071036.0,1682.0,3014.884661117717,2541710.0,1159.0,2193.0198446937015,3063738.0,956.0,3204.746861924686,2552503.0,806.0,3166.877171215881,2518533.0,876.0,2875.0376712328766,2469668.0,1103.0,2239.046237533998,3135780.0,1012.0,3098.596837944664,3271791.0,875.0,3739.189714285714,1799245.0,807.0,2229.54770755886
20170228,4548245.0,1945.0,2338.429305912596,4126551.0,1267.0,3256.9463299131808,2553981.0,1462.0,1746.9090287277702,1994264.0,483.0,4128.910973084886,2592552.0,845.0,3068.108875739645,1533999.0,422.0,3635.0687203791467,1118587.0,812.0,1377.570197044335,3429658.0,1133.0,3027.0591350397176,1963806.0,589.0,3334.1358234295417,2162745.0,678.0,3189.8893805309735
20170301,9240880.0,3519.0,2625.9960215970445,8864811.0,2929.0,3026.5657220894504,4737735.0,1635.0,2897.697247706422,4503145.0,1884.0,2390.2043524416135,4995500.0,1584.0,3153.7247474747473,3869311.0,1345.0,2876.811152416357,3774280.0,1823.0,2070.3675260559517,5466600.0,1696.0,3223.2311320754716,5770830.0,1525.0,3784.150819672131,3093981.0,1404.0,2203.690170940171
20170302,6751285.0,2029.0,3327.3952686052244,6353027.0,2375.0,2674.9587368421053,1272334.0,605.0,2103.0314049586777,5478951.0,1424.0,3847.5779494382023,1788088.0,774.0,2310.191214470284,4564939.0,1601.0,2851.3048094940664,2041305.0,901.0,2265.599334073252,4709980.0,1128.0,4175.514184397163,3400092.0,1278.0,2660.478873239437,2952935.0,1097.0,2691.827711941659
