,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,6606775.0,1556.0,4245.999357326478,8084664.0,1045.0,7736.52057416268,3763875.0,893.0,4214.86562150056,2842900.0,663.0,4287.933634992459,2513959.0,315.0,7980.822222222222,5570705.0,730.0,7631.102739726028,2860075.0,649.0,4406.895223420647,3746700.0,907.0,4130.871003307608,1669579.0,229.0,7290.7379912663755,6415085.0,816.0,7861.623774509804
20170104,10657755.0,1290.0,8261.82558139535,10451910.0,1554.0,6725.810810810811,4221256.0,543.0,7773.95211786372,6436499.0,747.0,8616.46452476573,4520390.0,600.0,7533.983333333334,5931520.0,954.0,6217.526205450734,2346816.0,383.0,6127.456919060052,8310939.0,907.0,9163.108048511576,3314982.0,521.0,6362.729366602687,7136928.0,1033.0,6908.933204259439
20170105,7505966.0,1456.0,5155.196428571428,9930353.0,1365.0,7274.983882783883,2731411.0,623.0,4384.287319422151,4774555.0,833.0,5731.758703481392,3555173.0,341.0,10425.727272727272,6375180.0,1024.0,6225.76171875,3311111.0,774.0,4277.921188630491,4194855.0,682.0,6150.813782991202,5512073.0,639.0,8626.092331768388,4418280.0,726.0,6085.785123966943
20170106,23763459.0,3055.0,7778.546317512275,18184338.0,2567.0,7083.887027658746,10213003.0,1197.0,8532.166248955722,13550456.0,1858.0,7293.0333692142085,7862701.0,1242.0,6330.677133655395,10321637.0,1325.0,7789.914716981132,9614411.0,1850.0,5196.978918918919,14149048.0,1205.0,11741.948547717842,11497744.0,1505.0,7639.697009966778,6686594.0,1062.0,6296.227871939736
20170109,8022291.0,1386.0,5788.088744588745,10732180.0,1804.0,5949.10199556541,3729788.0,644.0,5791.596273291925,4292503.0,742.0,5785.044474393531,5432414.0,835.0,6505.88502994012,5299766.0,969.0,5469.31475748194,4020972.0,625.0,6433.5552,4001319.0,761.0,5257.975032851511,5677654.0,759.0,7480.440052700922,5054526.0,1045.0,4836.866985645933
20170110,4766768.0,1087.0,4385.251149954001,10720432.0,1217.0,8808.900575184882,3001568.0,624.0,4810.205128205128,1765200.0,463.0,3812.526997840173,7038536.0,613.0,11482.114192495921,3681896.0,604.0,6095.854304635762,2826068.0,630.0,4485.822222222222,1940700.0,457.0,4246.608315098469,7588436.0,713.0,10642.967741935483,3131996.0,504.0,6214.277777777777
20170111,5112287.0,1168.0,4376.958047945205,12148896.0,1626.0,7471.645756457565,2684927.0,586.0,4581.786689419795,2427360.0,582.0,4170.721649484536,7982535.0,1015.0,7864.566502463054,4166361.0,611.0,6818.921440261865,3040641.0,737.0,4125.700135685211,2071646.0,431.0,4806.603248259861,9508272.0,1103.0,8620.37352674524,2640624.0,523.0,5048.994263862332
20170112,4791303.0,1269.0,3775.6524822695037,12162507.0,1164.0,10448.889175257733,1693100.0,522.0,3243.4865900383143,3098203.0,747.0,4147.527443105756,5250200.0,442.0,11878.280542986426,6912307.0,722.0,9573.8324099723,2924303.0,874.0,3345.8844393592676,1867000.0,395.0,4726.5822784810125,9466001.0,771.0,12277.562905317769,2696506.0,393.0,6861.338422391857
