,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,5884381.0,2056.0,2862.0530155642023,6802093.0,1711.0,3975.5073056691995,3422308.0,1400.0,2444.5057142857145,2462073.0,656.0,3753.1600609756097,4758268.0,1124.0,4233.3345195729535,2043825.0,587.0,3481.8143100511074,2682481.0,1209.0,2218.7601323407775,3201900.0,847.0,3780.283353010626,5145998.0,1043.0,4933.84276126558,1656095.0,668.0,2479.184131736527
20170104,17284858.0,3832.0,4510.662317327766,10015914.0,3372.0,2970.3185053380785,3918617.0,695.0,5638.297841726619,13366241.0,3137.0,4260.8355116353205,1849099.0,543.0,3405.3388581952117,8166815.0,2829.0,2886.8204312477906,4463659.0,1602.0,2786.303995006242,12821199.0,2230.0,5749.416591928251,4753228.0,1458.0,3260.101508916324,5262686.0,1914.0,2749.574712643678
20170105,8722917.0,2438.0,3577.8986874487287,10847638.0,3903.0,2779.3077120163975,4271616.0,1429.0,2989.2344296710985,4451301.0,1009.0,4411.596630327056,7191525.0,2547.0,2823.527679623086,3656113.0,1356.0,2696.2485250737464,3117043.0,1040.0,2997.1567307692308,5605874.0,1398.0,4009.9241773962804,5793965.0,1984.0,2920.345262096774,5053673.0,1919.0,2633.492965085982
20170106,7901174.0,2622.0,3013.414950419527,9390499.0,3347.0,2805.646549148491,4590595.0,1630.0,2816.3159509202455,3310579.0,992.0,3337.2772177419356,6429403.0,2224.0,2890.918615107914,2961096.0,1123.0,2636.772929652716,4401444.0,1697.0,2593.6617560400705,3499730.0,925.0,3783.491891891892,6646987.0,2169.0,3064.5398801290917,2743512.0,1178.0,2328.957555178268
20170109,9979236.0,3026.0,3297.8307997356246,7005754.0,2576.0,2719.625,3044973.0,1252.0,2432.0870607028755,6934263.0,1774.0,3908.8291995490417,2795313.0,1119.0,2498.045576407507,4210441.0,1457.0,2889.8016472203158,2699522.0,1221.0,2210.9107289107287,7279714.0,1805.0,4033.082548476454,3230302.0,1082.0,2985.49168207024,3775452.0,1494.0,2527.0763052208836
20170110,16847994.0,4194.0,4017.1659513590844,10036011.0,3143.0,3193.131084950684,4595246.0,1396.0,3291.723495702006,12252748.0,2798.0,4379.109363831308,3165899.0,966.0,3277.3281573498966,6870112.0,2177.0,3155.7703261368856,4589334.0,1665.0,2756.3567567567566,12258660.0,2529.0,4847.23606168446,4385842.0,1358.0,3229.633284241532,5650169.0,1785.0,3165.3607843137256
20170111,10857210.0,2652.0,4093.970588235294,9176211.0,2646.0,3467.9557823129253,5937822.0,1520.0,3906.4618421052633,4919388.0,1132.0,4345.749116607773,5222438.0,1442.0,3621.6629680998612,3953773.0,1204.0,3283.8646179401994,5474302.0,1504.0,3639.8284574468084,5382908.0,1148.0,4688.94425087108,5871057.0,1541.0,3809.900713822193,3305154.0,1105.0,2991.089592760181
20170112,7004122.0,2711.0,2583.593507930653,9928637.0,2367.0,4194.607942543304,2837533.0,1376.0,2062.1606104651164,4166589.0,1335.0,3121.0404494382024,5486480.0,1067.0,5141.968134957826,4442157.0,1300.0,3417.043846153846,4004962.0,1742.0,2299.0597014925374,2999160.0,969.0,3095.108359133127,7968709.0,1805.0,4414.797229916898,1959928.0,562.0,3487.4163701067614
