,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,409553.0,347.0,1180.2680115273774,556298.0,476.0,1168.6932773109243,157200.0,175.0,898.2857142857143,252353.0,172.0,1467.1686046511627,511000.0,392.0,1303.5714285714287,,,,132200.0,140.0,944.2857142857143,277353.0,207.0,1339.8695652173913,309100.0,160.0,1931.875,247198.0,316.0,782.2721518987341
20170104,546947.0,235.0,2327.4340425531914,605161.0,238.0,2542.6932773109243,274070.0,184.0,1489.5108695652175,,,,498861.0,169.0,2951.8402366863907,,,,,,,424177.0,163.0,2602.312883435583,,,,218600.0,170.0,1285.8823529411766
20170105,1106540.0,624.0,1773.301282051282,577850.0,394.0,1466.6243654822335,560583.0,277.0,2023.7653429602888,545957.0,347.0,1573.3631123919308,303278.0,168.0,1805.2261904761904,274572.0,226.0,1214.9203539823009,126300.0,136.0,928.6764705882352,980240.0,488.0,2008.688524590164,,,,444244.0,309.0,1437.68284789644
20170106,1157264.0,615.0,1881.730081300813,861481.0,527.0,1634.6888045540798,299102.0,182.0,1643.4175824175825,858162.0,433.0,1981.8983833718246,184360.0,108.0,1707.037037037037,677121.0,419.0,1616.0405727923628,545140.0,312.0,1747.2435897435898,612124.0,303.0,2020.2112211221122,482882.0,282.0,1712.3475177304965,378599.0,245.0,1545.3020408163266
20170109,356144.0,300.0,1187.1466666666668,626356.0,336.0,1864.154761904762,292744.0,223.0,1312.7533632286995,,,,504356.0,261.0,1932.3984674329502,,,,208800.0,206.0,1013.5922330097087,,,,545100.0,274.0,1989.4160583941605,,,
20170110,667479.0,281.0,2375.3701067615657,483043.0,308.0,1568.3214285714287,147079.0,103.0,1427.9514563106795,520400.0,178.0,2923.5955056179773,266942.0,125.0,2135.536,216101.0,183.0,1180.879781420765,128879.0,104.0,1239.2211538461538,538600.0,177.0,3042.937853107345,250242.0,123.0,2034.4878048780488,232801.0,185.0,1258.3837837837839
20170111,222312.0,263.0,845.2927756653993,570099.0,240.0,2375.4125,123002.0,172.0,715.1279069767442,,,,423999.0,145.0,2924.1310344827584,,,,135912.0,198.0,686.4242424242424,,,,554199.0,217.0,2553.9124423963135,,,
20170112,166984.0,338.0,494.03550295857985,311917.0,213.0,1464.3990610328638,91580.0,174.0,526.3218390804598,75404.0,164.0,459.780487804878,,,,182097.0,127.0,1433.8346456692914,135883.0,249.0,545.714859437751,,,,299617.0,189.0,1585.2751322751324,,,
20170113,576644.0,267.0,2159.7153558052432,618256.0,282.0,2192.3971631205673,163155.0,202.0,807.6980198019802,,,,268474.0,193.0,1391.0569948186528,,,,133897.0,193.0,693.7668393782384,,,,259603.0,189.0,1373.5608465608466,,,
20170116,494903.0,443.0,1117.1625282167042,850200.0,425.0,2000.4705882352941,225935.0,182.0,1241.401098901099,268968.0,261.0,1030.528735632184,297534.0,116.0,2564.948275862069,552666.0,309.0,1788.5631067961165,418971.0,393.0,1066.0839694656488,,,,782832.0,386.0,2028.062176165803,,,
