,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,5848324.0,2204.0,2653.5045372050818,3466979.0,1665.0,2082.26966966967,2107592.0,714.0,2951.809523809524,3740732.0,1490.0,2510.558389261745,949142.0,451.0,2104.5277161862527,2517837.0,1214.0,2074.000823723229,1620839.0,794.0,2041.3589420654912,4227485.0,1410.0,2998.2163120567375,1662516.0,581.0,2861.473321858864,1804463.0,1084.0,1664.6337638376383
20170104,4294312.0,2754.0,1559.2999273783587,3160427.0,1627.0,1942.4874001229257,1124519.0,596.0,1886.7768456375838,3169793.0,2158.0,1468.856811862836,1098682.0,503.0,2184.258449304175,2061745.0,1124.0,1834.2927046263346,961600.0,845.0,1137.9881656804735,3332712.0,1909.0,1745.78941854374,1217900.0,417.0,2920.6235011990407,1942527.0,1210.0,1605.394214876033
20170105,2344135.0,1389.0,1687.64218862491,2396018.0,1417.0,1690.908962597036,750650.0,542.0,1384.9630996309963,1593485.0,847.0,1881.328217237308,1415901.0,769.0,1841.2236671001301,980117.0,648.0,1512.5262345679012,1142596.0,856.0,1334.8084112149534,1201539.0,533.0,2254.2945590994373,1675131.0,948.0,1767.01582278481,720887.0,469.0,1537.0724946695095
20170106,3248492.0,1921.0,1691.0421655387818,7297358.0,3798.0,1921.368615060558,2677413.0,1557.0,1719.597302504817,571079.0,364.0,1568.8983516483515,5832964.0,3126.0,1865.951375559821,1464394.0,672.0,2179.157738095238,1988132.0,1245.0,1596.893172690763,1260360.0,676.0,1864.4378698224853,5940748.0,2399.0,2476.34347644852,1356610.0,1399.0,969.699785561115
20170109,6558121.0,2757.0,2378.716358360537,12123593.0,3491.0,3472.813806932111,3983641.0,1675.0,2378.293134328358,2574480.0,1082.0,2379.3715341959332,6405443.0,1670.0,3835.594610778443,5718150.0,1821.0,3140.1153212520594,3657969.0,1932.0,1893.358695652174,2900152.0,825.0,3515.3357575757577,10102777.0,2537.0,3982.1746156878203,2020816.0,954.0,2118.2557651991615
20170110,4023313.0,1811.0,2221.5974599668693,3775571.0,1449.0,2605.6390614216702,913517.0,447.0,2043.662192393736,3109796.0,1364.0,2279.909090909091,1213452.0,529.0,2293.86011342155,2562119.0,920.0,2784.9119565217393,1215394.0,797.0,1524.961104140527,2807919.0,1014.0,2769.1508875739646,2015542.0,690.0,2921.0753623188407,1760029.0,759.0,2318.878787878788
20170111,2422476.0,1045.0,2318.158851674641,1727289.0,829.0,2083.581423401689,1215612.0,483.0,2516.795031055901,1206864.0,562.0,2147.4448398576515,914869.0,343.0,2667.256559766764,812420.0,486.0,1671.6460905349795,882128.0,440.0,2004.8363636363636,1540348.0,605.0,2546.0297520661156,1025343.0,443.0,2314.5440180586907,701946.0,386.0,1818.5129533678758
20170112,1173450.0,2247.0,522.2296395193591,2329100.0,1565.0,1488.2428115015975,750487.0,1105.0,679.1737556561086,422963.0,1142.0,370.3704028021016,1312583.0,687.0,1910.6011644832606,1016517.0,878.0,1157.76423690205,633630.0,1328.0,477.13102409638554,539820.0,919.0,587.3993471164309,1711419.0,1134.0,1509.1878306878307,617681.0,431.0,1433.1345707656612
