,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,3674688.0,2501.0,1469.2874850059975,3819180.0,2364.0,1615.5583756345177,1810971.0,1466.0,1235.3144611186904,1863717.0,1035.0,1800.6927536231883,2006094.0,1217.0,1648.392769104355,1813086.0,1147.0,1580.7201394943331,1475453.0,1214.0,1215.3649093904448,2199235.0,1287.0,1708.8073038073037,2346495.0,1175.0,1997.0170212765956,1472685.0,1189.0,1238.5912531539109
20170104,8292562.0,3970.0,2088.806549118388,5426617.0,4349.0,1247.785008047827,2015320.0,997.0,2021.384152457372,6277242.0,2973.0,2111.4167507568113,1395898.0,971.0,1437.5880535530382,4030719.0,3378.0,1193.2264653641207,2389607.0,1624.0,1471.432881773399,5902955.0,2346.0,2516.178601875533,2526555.0,1860.0,1358.3629032258063,2900062.0,2489.0,1165.1514664523904
20170105,6758905.0,4685.0,1442.6691568836713,7775477.0,5252.0,1480.4792460015233,2782408.0,2420.0,1149.7553719008265,3976497.0,2265.0,1755.6278145695364,4362084.0,2798.0,1559.000714796283,3413393.0,2454.0,1390.9506927465363,2746860.0,2561.0,1072.573213588442,4012045.0,2124.0,1888.9100753295668,5024970.0,2986.0,1682.843268586738,2750507.0,2266.0,1213.8159752868492
20170106,3425837.0,2728.0,1255.8053519061584,4971983.0,2842.0,1749.466220971147,3068837.0,2419.0,1268.6386936750723,357000.0,309.0,1155.3398058252428,4351983.0,2466.0,1764.794403892944,620000.0,376.0,1648.936170212766,2021321.0,1751.0,1154.3809251856082,1404516.0,977.0,1437.5803480040943,3585880.0,1809.0,1982.2443338861249,1386103.0,1033.0,1341.8228460793805
20170109,2804519.0,2040.0,1374.7642156862746,3391861.0,2115.0,1603.7167848699764,1502355.0,1191.0,1261.4231738035264,1302164.0,849.0,1533.7620730270908,2029951.0,1158.0,1752.9801381692573,1361910.0,957.0,1423.103448275862,1123386.0,987.0,1138.1823708206687,1681133.0,1053.0,1596.517568850902,2188726.0,1117.0,1959.468218442256,1203135.0,998.0,1205.5460921843687
20170110,3123234.0,1934.0,1614.9089968976216,3973560.0,2356.0,1686.5704584040748,1145684.0,979.0,1170.2594484167519,1977550.0,955.0,2070.7329842931936,2500958.0,1236.0,2023.4288025889969,1472602.0,1120.0,1314.8232142857144,1311758.0,1093.0,1200.1445562671547,1811476.0,841.0,2153.9548156956007,2973451.0,1465.0,2029.659385665529,1000109.0,891.0,1122.4567901234568
20170111,4898659.0,2946.0,1662.8170400543108,4766686.0,2632.0,1811.0509118541033,2487698.0,1768.0,1407.0690045248869,2410961.0,1178.0,2046.6561969439729,2895254.0,1611.0,1797.1781502172564,1871432.0,1021.0,1832.9402546523017,2436170.0,1768.0,1377.9242081447965,2462489.0,1178.0,2090.398132427844,3490867.0,1641.0,2127.2803168799514,1275819.0,991.0,1287.4056508577194
20170112,2345762.0,2251.0,1042.0977343402933,4317193.0,2163.0,1995.928340268146,1272205.0,1332.0,955.1088588588589,1073557.0,919.0,1168.1795429815015,2486989.0,1166.0,2132.9236706689535,1830204.0,997.0,1835.7111334002007,1438243.0,1539.0,934.5308641975308,907519.0,712.0,1274.6053370786517,3561526.0,1583.0,2249.8584965255845,755667.0,580.0,1302.8741379310345
