,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,1284756.0,1041.0,1234.1556195965418,1171906.0,1067.0,1098.3186504217433,411593.0,587.0,701.1805792163543,873163.0,454.0,1923.2665198237885,675992.0,637.0,1061.2119309262166,495914.0,430.0,1153.2883720930233,852489.0,639.0,1334.0985915492959,432267.0,402.0,1075.2910447761194,838986.0,665.0,1261.633082706767,332920.0,402.0,828.1592039800995
20170104,831604.0,852.0,976.0610328638497,784887.0,751.0,1045.1225033288947,431820.0,466.0,926.6523605150214,399784.0,386.0,1035.7098445595855,570679.0,418.0,1365.2607655502393,214208.0,333.0,643.2672672672672,115238.0,174.0,662.2873563218391,716366.0,678.0,1056.5870206489676,262119.0,189.0,1386.873015873016,522768.0,562.0,930.1921708185054
20170105,655456.0,565.0,1160.0991150442478,535546.0,706.0,758.5637393767705,212107.0,258.0,822.1201550387597,443349.0,307.0,1444.1335504885994,217839.0,245.0,889.138775510204,317707.0,461.0,689.1691973969631,66537.0,158.0,421.12025316455697,588919.0,407.0,1446.97542997543,216229.0,214.0,1010.4158878504672,319317.0,492.0,649.0182926829268
20170106,498765.0,825.0,604.5636363636364,587871.0,903.0,651.0199335548173,158837.0,406.0,391.2241379310345,339928.0,419.0,811.2840095465393,244730.0,328.0,746.1280487804878,343141.0,575.0,596.7669565217391,400477.0,705.0,568.0524822695036,98288.0,120.0,819.0666666666667,500644.0,748.0,669.3101604278074,87227.0,155.0,562.7548387096774
20170109,1340881.0,972.0,1379.5072016460906,621398.0,777.0,799.7400257400258,602727.0,382.0,1577.8193717277486,738154.0,590.0,1251.1084745762712,243740.0,279.0,873.6200716845879,377658.0,498.0,758.3493975903615,315435.0,276.0,1142.8804347826087,1025446.0,696.0,1473.3419540229886,172912.0,225.0,768.4977777777777,448486.0,552.0,812.4746376811594
20170110,731019.0,612.0,1194.4754901960785,545669.0,810.0,673.6654320987655,212823.0,245.0,868.665306122449,518196.0,367.0,1411.9782016348775,226718.0,375.0,604.5813333333333,318951.0,435.0,733.2206896551725,190326.0,270.0,704.9111111111112,540693.0,342.0,1580.9736842105262,264873.0,396.0,668.8712121212121,280796.0,414.0,678.2512077294685
20170111,373220.0,717.0,520.5299860529987,662972.0,729.0,909.4266117969821,147242.0,342.0,430.53216374269005,225978.0,375.0,602.608,381471.0,337.0,1131.9614243323442,281501.0,392.0,718.1147959183673,224962.0,496.0,453.5524193548387,148258.0,221.0,670.8506787330317,551710.0,554.0,995.8664259927798,111262.0,175.0,635.7828571428571
20170112,457190.0,621.0,736.2157809983897,489785.0,572.0,856.2674825174826,188364.0,375.0,502.304,268826.0,246.0,1092.7886178861788,321686.0,325.0,989.8030769230769,168099.0,247.0,680.5627530364372,349170.0,458.0,762.3799126637555,108020.0,163.0,662.6993865030674,417078.0,432.0,965.4583333333334,72707.0,140.0,519.3357142857143
