,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171129,,,,7074252.0,611.0,11578.153846153846,,,,,,,7074252.0,611.0,11578.153846153846,,,,,,,6605352.0,553.0,11944.578661844485,,,,,,
20171130,,,,7184936.0,1437.0,4999.955462769659,,,,,,,7184936.0,1437.0,4999.955462769659,,,,7184936.0,1437.0,4999.955462769659,,,,,,,,,
20171201,188937022.0,29072.0,6498.934438635113,126126085.0,15191.0,8302.684813376341,96853859.0,17475.0,5542.4239771101575,92083163.0,11597.0,7940.257221695266,73193684.0,8657.0,8454.855492664896,52932401.0,6534.0,8101.071472298745,58124920.0,6610.0,8793.482602118003,68001165.0,8581.0,7924.6200908984965,56785486.0,14628.0,3881.971971561389,132151536.0,14444.0,9149.23400720022
20171204,114033468.0,27862.0,4092.7954920680495,119284455.0,19816.0,6019.603098506258,39945688.0,10628.0,3758.5329318780578,74087780.0,17234.0,4298.93118254613,63491262.0,8892.0,7140.267881241565,55793193.0,10924.0,5107.39591724643,78023268.0,10391.0,7508.73525166009,41261187.0,9425.0,4377.844774535809,42076508.0,14625.0,2877.026188034188,71956960.0,13237.0,5436.047442774043
20171205,103605940.0,23788.0,4355.386749621658,93475326.0,16553.0,5647.032320425301,41489207.0,10989.0,3775.5216125216125,62116733.0,12799.0,4853.24892569732,46166581.0,7823.0,5901.3908986322385,47308745.0,8730.0,5419.100229095075,56980810.0,8366.0,6810.9980874970115,36494516.0,8187.0,4457.617686576279,38528569.0,11673.0,3300.6569862074875,65077371.0,12115.0,5371.63607098638
20171206,101449267.0,21869.0,4638.953175728199,89249674.0,17727.0,5034.674451401816,49511871.0,13218.0,3745.791420789832,51937396.0,8651.0,6003.629175817825,60727588.0,11158.0,5442.5155045707115,28522086.0,6569.0,4341.922058151926,56467346.0,8951.0,6308.495810523964,32782328.0,8776.0,3735.4521422060166,32328743.0,10386.0,3112.7231850568073,69120524.0,11483.0,6019.378559609858
20171207,58877041.0,17741.0,3318.6991150442477,93872979.0,16608.0,5652.274747109826,16966493.0,4990.0,3400.0987975951903,41910548.0,12751.0,3286.8440122343345,35059211.0,5056.0,6934.179390822785,58813768.0,11552.0,5091.219529085873,63792557.0,9301.0,6858.677239006558,30080422.0,7307.0,4116.658272889011,25982511.0,9492.0,2737.306257901391,32894530.0,8249.0,3987.6991150442477
20171208,104266287.0,20595.0,5062.699053168245,81253052.0,17703.0,4589.789979099588,22929534.0,4787.0,4789.95905577606,81336753.0,15808.0,5145.290549089069,22232338.0,5115.0,4346.498142717497,59020714.0,12588.0,4688.649030823006,49416696.0,8892.0,5557.433198380567,31836356.0,8811.0,3613.251163318579,34606468.0,10220.0,3386.151467710372,69659819.0,10375.0,6714.199421686747
