,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,2090976.0,998.0,2095.1663326653306,1378024.0,588.0,2343.578231292517,969297.0,593.0,1634.5649241146712,1121679.0,405.0,2769.5777777777776,763203.0,252.0,3028.5833333333335,614821.0,336.0,1829.8244047619048,456500.0,381.0,1198.1627296587926,1634476.0,617.0,2649.069692058347,429802.0,157.0,2737.5923566878982,948222.0,431.0,2200.051044083527
20170104,2066820.0,984.0,2100.4268292682927,1596686.0,667.0,2393.832083958021,521600.0,108.0,4829.62962962963,1545220.0,876.0,1763.9497716894978,387100.0,122.0,3172.9508196721313,1209586.0,545.0,2219.4238532110094,551472.0,374.0,1474.524064171123,1515348.0,610.0,2484.1770491803277,493012.0,219.0,2251.1963470319633,1103674.0,448.0,2463.558035714286
20170105,1092592.0,506.0,2159.2727272727275,1378326.0,884.0,1559.1923076923076,869747.0,409.0,2126.520782396088,,,,1282481.0,806.0,1591.167493796526,,,,672341.0,325.0,2068.7415384615383,420251.0,181.0,2321.828729281768,1013389.0,584.0,1735.2551369863013,364937.0,300.0,1216.4566666666667
20170106,961834.0,678.0,1418.6342182890855,1530989.0,499.0,3068.1142284569137,846934.0,612.0,1383.8790849673203,,,,1235089.0,356.0,3469.3511235955057,295900.0,143.0,2069.230769230769,723463.0,411.0,1760.250608272506,238371.0,267.0,892.7752808988764,1125975.0,356.0,3162.8511235955057,405014.0,143.0,2832.2657342657344
20170109,2284266.0,1334.0,1712.343328335832,1427107.0,833.0,1713.2136854741898,507132.0,229.0,2214.5502183406115,1777134.0,1105.0,1608.2660633484163,483438.0,138.0,3503.1739130434785,943669.0,695.0,1357.7971223021582,706523.0,565.0,1250.483185840708,1577743.0,769.0,2051.6814044213265,521730.0,317.0,1645.8359621451104,905377.0,516.0,1754.6065891472867
20170110,1406335.0,550.0,2556.9727272727273,1592996.0,936.0,1701.9188034188035,220845.0,216.0,1022.4305555555555,1185490.0,334.0,3549.37125748503,459621.0,347.0,1324.5561959654178,1133375.0,589.0,1924.2359932088286,456768.0,309.0,1478.2135922330096,949567.0,241.0,3940.1120331950206,976701.0,565.0,1728.6743362831858,616295.0,371.0,1661.1725067385444
20170111,1083197.0,859.0,1260.9976717112922,1333888.0,457.0,2918.7921225382934,669097.0,504.0,1327.5734126984128,414100.0,355.0,1166.4788732394366,1004988.0,294.0,3418.326530612245,328900.0,163.0,2017.7914110429447,706497.0,559.0,1263.8586762075133,376700.0,300.0,1255.6666666666667,999788.0,309.0,3235.559870550162,334100.0,148.0,2257.4324324324325
20170112,1271400.0,582.0,2184.536082474227,1707415.0,511.0,3341.320939334638,524694.0,300.0,1748.98,746706.0,282.0,2647.8936170212764,1141556.0,263.0,4340.51711026616,565859.0,248.0,2281.689516129032,511480.0,272.0,1880.4411764705883,759920.0,310.0,2451.3548387096776,1115041.0,277.0,4025.418772563177,592374.0,234.0,2531.5128205128203
