,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,4365575.0,1288.0,3389.4215838509317,5205480.0,856.0,6081.1682242990655,1140525.0,197.0,5789.467005076142,3225050.0,1091.0,2956.049495875344,3358380.0,567.0,5923.068783068783,1847100.0,289.0,6391.349480968858,1938415.0,424.0,4571.733490566037,2427160.0,864.0,2809.212962962963,1927782.0,268.0,7193.2164179104475,3277698.0,588.0,5574.316326530612
20170104,6972626.0,1281.0,5443.111631537861,6014301.0,1165.0,5162.490128755365,2444550.0,531.0,4603.672316384181,4528076.0,750.0,6037.434666666667,2732149.0,502.0,5442.527888446215,3282152.0,663.0,4950.455505279035,2447615.0,529.0,4626.871455576559,4525011.0,752.0,6017.301861702128,1762150.0,289.0,6097.404844290658,4252151.0,876.0,4854.053652968037
20170105,5737257.0,1321.0,4343.116578349735,6150613.0,1193.0,5155.5850796311815,4595654.0,888.0,5175.286036036036,1141603.0,433.0,2636.4965357967667,3880177.0,703.0,5519.455192034139,2270436.0,490.0,4633.542857142857,2589490.0,616.0,4203.717532467533,3147767.0,705.0,4464.917730496454,3602240.0,642.0,5610.9657320872275,2548373.0,551.0,4624.996370235935
20170106,3775142.0,1189.0,3175.0563498738434,6234772.0,1160.0,5374.803448275862,2530492.0,869.0,2911.958573072497,1244650.0,320.0,3889.53125,3663940.0,608.0,6026.2171052631575,2570832.0,552.0,4657.304347826087,2021418.0,724.0,2792.013812154696,1753724.0,465.0,3771.4494623655914,4732194.0,721.0,6563.375866851595,1502578.0,439.0,3422.728929384966
20170109,17426020.0,3039.0,5734.129647910497,9664647.0,2259.0,4278.285524568393,990119.0,191.0,5183.869109947644,16435901.0,2848.0,5771.032654494382,,,,9406683.0,2184.0,4307.089285714285,6707110.0,1533.0,4375.15329419439,10718910.0,1506.0,7117.470119521912,5165197.0,1178.0,4384.717317487267,4499450.0,1081.0,4162.303422756707
20170110,4965399.0,1218.0,4076.6822660098524,7447887.0,1770.0,4207.845762711864,4029968.0,964.0,4180.464730290457,935431.0,254.0,3682.799212598425,5521773.0,1288.0,4287.090838509317,1926114.0,482.0,3996.0871369294605,3136310.0,752.0,4170.625,1829089.0,466.0,3925.0836909871246,4887047.0,980.0,4986.782653061225,2560840.0,790.0,3241.5696202531644
20170111,3471783.0,974.0,3564.458932238193,7283329.0,1615.0,4509.801238390093,3080203.0,824.0,3738.1104368932038,391580.0,150.0,2610.5333333333333,6135009.0,1361.0,4507.721528288023,1148320.0,254.0,4520.944881889764,2168183.0,675.0,3212.122962962963,1303600.0,299.0,4359.866220735786,5379079.0,1043.0,5157.31447746884,1904250.0,572.0,3329.1083916083917
20170112,4056766.0,1062.0,3819.930320150659,5782784.0,1125.0,5140.252444444444,934464.0,373.0,2505.265415549598,3122302.0,689.0,4531.642960812772,3288209.0,547.0,6011.351005484461,2494575.0,578.0,4315.8737024221455,2483727.0,732.0,3393.0696721311474,1573039.0,330.0,4766.784848484848,4729858.0,846.0,5590.848699763594,1052926.0,279.0,3773.9283154121863
