,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,3637351.0,1236.0,2942.8406148867316,2815991.0,740.0,3805.3932432432434,2065400.0,657.0,3143.683409436834,1571951.0,579.0,2714.9412780656303,2030477.0,485.0,4186.550515463918,785514.0,255.0,3080.4470588235295,760300.0,322.0,2361.1801242236024,2877051.0,914.0,3147.758205689278,577637.0,144.0,4011.3680555555557,2238354.0,596.0,3755.6275167785234
20170104,2943618.0,1159.0,2539.7911993097496,3854855.0,957.0,4028.0616509926854,1426954.0,618.0,2308.9870550161813,1516664.0,541.0,2803.445471349353,1687465.0,507.0,3328.3333333333335,2167390.0,450.0,4816.422222222222,1153161.0,453.0,2545.609271523179,1790457.0,706.0,2536.058073654391,1385300.0,373.0,3713.941018766756,2469555.0,584.0,4228.690068493151
20170105,2705436.0,916.0,2953.532751091703,2733766.0,993.0,2753.0372608257803,646724.0,300.0,2155.7466666666664,2058712.0,616.0,3342.064935064935,719204.0,241.0,2984.2489626556016,2014562.0,752.0,2678.938829787234,1005451.0,458.0,2195.307860262009,1699985.0,458.0,3711.7576419213974,1068166.0,485.0,2202.40412371134,1665600.0,508.0,3278.740157480315
20170106,1671179.0,658.0,2539.785714285714,2280494.0,805.0,2832.911801242236,1069955.0,427.0,2505.749414519906,601224.0,231.0,2602.7012987012986,1411518.0,529.0,2668.275992438563,868976.0,276.0,3148.463768115942,1091255.0,444.0,2457.7815315315315,579924.0,214.0,2709.92523364486,1595218.0,548.0,2910.9817518248174,685276.0,257.0,2666.443579766537
20170109,3085039.0,765.0,4032.7307189542485,2153489.0,573.0,3758.2705061082024,631200.0,162.0,3896.296296296296,2453839.0,603.0,4069.3847429519074,,,,1817489.0,477.0,3810.249475890985,930038.0,206.0,4514.747572815534,2155001.0,559.0,3855.1001788908766,483900.0,136.0,3558.0882352941176,1669589.0,437.0,3820.5697940503433
20170110,2855618.0,726.0,3933.3581267217633,2871536.0,524.0,5480.030534351145,1642518.0,426.0,3855.676056338028,1213100.0,300.0,4043.6666666666665,1771420.0,246.0,7200.8943089430895,1100116.0,278.0,3957.251798561151,1843218.0,434.0,4247.046082949309,1012400.0,292.0,3467.123287671233,1957119.0,315.0,6213.07619047619,914417.0,209.0,4375.200956937799
20170111,1550980.0,622.0,2493.5369774919614,3434164.0,879.0,3906.8987485779294,728784.0,315.0,2313.6,822196.0,307.0,2678.1628664495115,2314616.0,441.0,5248.562358276644,1119548.0,438.0,2556.0456621004564,1009047.0,436.0,2314.327981651376,541933.0,186.0,2913.6182795698924,2766011.0,661.0,4184.585476550681,668153.0,218.0,3064.922018348624
20170112,1885742.0,855.0,2205.546198830409,1537758.0,716.0,2147.7067039106146,550955.0,248.0,2221.592741935484,1334787.0,607.0,2198.9901153212522,873433.0,360.0,2426.2027777777776,664325.0,356.0,1866.0814606741574,822787.0,499.0,1648.8717434869739,1062955.0,356.0,2985.828651685393,922193.0,389.0,2370.676092544987,615565.0,327.0,1882.461773700306
