,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,2035916.0,1098.0,1854.2040072859745,2343690.0,667.0,3513.7781109445277,729364.0,480.0,1519.5083333333334,1306552.0,618.0,2114.1618122977347,1219040.0,263.0,4635.133079847908,1124650.0,404.0,2783.7871287128714,819846.0,515.0,1591.9339805825243,1216070.0,583.0,2085.8833619210977,986120.0,213.0,4629.671361502347,1357570.0,454.0,2990.2422907488985
20170104,5139103.0,1735.0,2962.0190201729106,3364759.0,1250.0,2691.8072,1781645.0,562.0,3170.1868327402135,3357458.0,1173.0,2862.283034953112,1123132.0,389.0,2887.228791773779,2241627.0,861.0,2603.515679442509,1098931.0,523.0,2101.206500956023,4040172.0,1212.0,3333.4752475247524,1077681.0,437.0,2466.0892448512586,2287078.0,813.0,2813.1340713407135
20170105,2598485.0,1152.0,2255.629340277778,4716999.0,1198.0,3937.3948247078465,1874685.0,835.0,2245.131736526946,723800.0,317.0,2283.2807570977916,3734320.0,845.0,4419.3136094674555,982679.0,353.0,2783.7932011331445,1729948.0,755.0,2291.321854304636,868537.0,397.0,2187.750629722922,3625785.0,808.0,4487.357673267326,1091214.0,390.0,2797.9846153846156
20170106,3743813.0,1054.0,3552.004743833017,3838487.0,989.0,3881.179979777553,1268600.0,290.0,4374.482758620689,2475213.0,764.0,3239.807591623037,1064600.0,358.0,2973.7430167597763,2773887.0,631.0,4396.017432646593,1284108.0,508.0,2527.771653543307,2459705.0,546.0,4504.954212454212,2468781.0,547.0,4513.3107861060325,1369706.0,442.0,3098.8823529411766
20170109,2423700.0,1088.0,2227.6654411764707,2987400.0,843.0,3543.7722419928828,827200.0,225.0,3676.4444444444443,1596500.0,863.0,1849.9420625724217,1800900.0,488.0,3690.3688524590166,1186500.0,355.0,3342.2535211267605,1203300.0,487.0,2470.841889117043,1220400.0,601.0,2030.6156405990016,1832400.0,486.0,3770.3703703703704,1155000.0,357.0,3235.294117647059
20170110,2303025.0,886.0,2599.3510158013546,2632703.0,879.0,2995.1114903299203,1643619.0,675.0,2434.991111111111,659406.0,211.0,3125.1469194312795,1949658.0,693.0,2813.3593073593074,683045.0,186.0,3672.2849462365593,755170.0,400.0,1887.925,1547855.0,486.0,3184.88683127572,1561275.0,540.0,2891.25,1071428.0,339.0,3160.5545722713864
20170111,1571140.0,650.0,2417.1384615384613,3689937.0,856.0,4310.6740654205605,1078338.0,464.0,2324.0043103448274,492802.0,186.0,2649.47311827957,2736566.0,594.0,4607.013468013468,953371.0,262.0,3638.820610687023,1130046.0,529.0,2136.192816635161,441094.0,121.0,3645.404958677686,3374317.0,739.0,4566.058186738836,315620.0,117.0,2697.6068376068374
20170112,1400329.0,739.0,1894.8971583220568,3264515.0,757.0,4312.437252311757,943529.0,515.0,1832.095145631068,456800.0,224.0,2039.2857142857142,2314192.0,481.0,4811.209979209979,950323.0,276.0,3443.199275362319,970729.0,541.0,1794.3234750462107,429600.0,198.0,2169.6969696969695,2584715.0,562.0,4599.137010676157,679800.0,195.0,3486.153846153846
