,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,10526238.0,4790.0,2197.5444676409184,7467530.0,2815.0,2652.7637655417407,1845213.0,713.0,2587.9565217391305,8681025.0,4077.0,2129.2678440029435,1437910.0,484.0,2970.8884297520663,6029620.0,2331.0,2586.709566709567,3518891.0,2086.0,1686.9084372003836,7007347.0,2704.0,2591.474482248521,4201727.0,1228.0,3421.6017915309444,3265803.0,1587.0,2057.8468809073725
20170104,7007794.0,2827.0,2478.880084895649,7544793.0,3378.0,2233.5088809946715,2142967.0,1188.0,1803.844276094276,4864827.0,1639.0,2968.1677852348994,3342452.0,1382.0,2418.561505065123,4202341.0,1996.0,2105.3812625250503,3049363.0,1577.0,1933.6480659480026,3958431.0,1250.0,3166.7448,4843786.0,1959.0,2472.5809086268505,2701007.0,1419.0,1903.4580690627201
20170105,6226817.0,3002.0,2074.2228514323783,9238416.0,4054.0,2278.8396645288603,4151579.0,2272.0,1827.2794894366198,2075238.0,730.0,2842.7917808219177,7260091.0,3072.0,2363.3108723958335,1978325.0,982.0,2014.5875763747454,2916137.0,1952.0,1493.922643442623,3310680.0,1050.0,3153.0285714285715,6947359.0,2658.0,2613.7543265613244,2291057.0,1396.0,1641.1583094555874
20170106,5252280.0,2622.0,2003.157894736842,10643752.0,4547.0,2340.829557950297,3339881.0,2042.0,1635.5930460333007,1912399.0,580.0,3297.2396551724137,7588472.0,3058.0,2481.514715500327,3055280.0,1489.0,2051.900604432505,2214720.0,1488.0,1488.3870967741937,3037560.0,1134.0,2678.6243386243386,6922151.0,2530.0,2736.028063241107,3721601.0,2017.0,1845.117005453644
20170109,14766490.0,7629.0,1935.573469655263,21054255.0,5977.0,3522.5455914338295,11151214.0,5936.0,1878.5737870619946,3615276.0,1693.0,2135.425871234495,15383407.0,4351.0,3535.602620087336,5670848.0,1626.0,3487.606396063961,8125723.0,4733.0,1716.8229452778364,6640767.0,2896.0,2293.0825276243095,15511722.0,3753.0,4133.152677857714,5542533.0,2224.0,2492.1461330935253
20170110,7079504.0,4834.0,1464.5229623500206,9432725.0,2917.0,3233.707576276997,2889296.0,1692.0,1707.6217494089835,4190208.0,3142.0,1333.6117122851688,5861396.0,1213.0,4832.148392415499,3571329.0,1704.0,2095.850352112676,2687636.0,2077.0,1293.999037072701,4391868.0,2757.0,1592.9880304679,6040926.0,1347.0,4484.726057906459,3391799.0,1570.0,2160.3815286624204
20170111,3403121.0,2050.0,1660.0590243902438,5565154.0,1806.0,3081.4806201550387,1976898.0,1357.0,1456.8150331613854,1426223.0,693.0,2058.041847041847,4340567.0,1104.0,3931.673007246377,1224587.0,702.0,1744.4259259259259,1445708.0,1006.0,1437.0854870775347,1957413.0,1044.0,1874.9166666666667,3556479.0,826.0,4305.664648910411,2008675.0,980.0,2049.668367346939
20170112,5503749.0,3705.0,1485.4923076923078,8160741.0,2086.0,3912.148130393097,2518193.0,1397.0,1802.5719398711524,2985556.0,2308.0,1293.5684575389948,3088961.0,787.0,3924.982210927573,5071780.0,1299.0,3904.37259430331,2932841.0,2201.0,1332.503861880963,2570908.0,1504.0,1709.3803191489362,6448093.0,1592.0,4050.309673366834,1712648.0,494.0,3466.8987854251013
