,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,30269541.0,12267.0,2467.558571777941,27271505.0,13423.0,2031.6996945541234,5031685.0,2555.0,1969.3483365949119,25237856.0,9712.0,2598.6260296540363,5566893.0,2505.0,2222.3125748502994,21704612.0,10918.0,1987.965927825609,10944814.0,6333.0,1728.219485236065,19324727.0,5934.0,3256.6105493764744,16056437.0,7045.0,2279.1251951738823,11215068.0,6378.0,1758.3988711194731
20170104,34600242.0,17511.0,1975.9146821997601,36015375.0,13992.0,2573.997641509434,12477524.0,6722.0,1856.2219577506694,22122718.0,10789.0,2050.488275095004,17197104.0,5756.0,2987.6831132731063,18818271.0,8236.0,2284.879917435648,12114205.0,8757.0,1383.373872330707,22486037.0,8754.0,2568.658556088645,23575306.0,7394.0,3188.437381660806,12440069.0,6598.0,1885.4302819036072
20170105,30857372.0,15776.0,1955.9693204868154,30366324.0,13488.0,2251.358540925267,11926853.0,7603.0,1568.7035380770749,18930519.0,8173.0,2316.22647742567,14006625.0,5782.0,2422.45330335524,16359699.0,7706.0,2122.981962107449,12251528.0,8160.0,1501.4127450980393,18605844.0,7616.0,2442.9942226890757,20474694.0,7501.0,2729.595253966138,9891630.0,5987.0,1652.1847335894438
20170106,20307878.0,10769.0,1885.7719379700993,33382578.0,13583.0,2457.673415298535,14652900.0,8329.0,1759.2628166646657,5654978.0,2440.0,2317.6139344262297,26646280.0,10912.0,2441.924486803519,6736298.0,2671.0,2522.0134780980907,9351581.0,5776.0,1619.0410318559557,10956297.0,4993.0,2194.3314640496696,22190178.0,7286.0,3045.5912709305517,11192400.0,6297.0,1777.4178180085755
20170109,20018171.0,12757.0,1569.1911107627186,35686149.0,11925.0,2992.549182389937,13891980.0,9220.0,1506.7223427331887,6126191.0,3537.0,1732.0302516256716,25109300.0,7629.0,3291.2963691178397,10576849.0,4296.0,2462.022579143389,9908230.0,7393.0,1340.217773569593,10109941.0,5364.0,1884.7764727815063,25931322.0,6684.0,3879.6113105924596,9754827.0,5241.0,1861.2530051516885
20170110,20432837.0,9194.0,2222.409941266043,24601351.0,11638.0,2113.8813369994846,9513939.0,5516.0,1724.7895213923132,10918898.0,3678.0,2968.705274605764,14922144.0,6069.0,2458.748393475037,9679207.0,5569.0,1738.051176153708,6816359.0,4409.0,1546.0102063960082,13616478.0,4785.0,2845.658934169279,13912142.0,5750.0,2419.502956521739,10689209.0,5888.0,1815.4227241847825
20170111,13123539.0,7415.0,1769.8636547538772,20937923.0,8003.0,2616.259277770836,7746789.0,4895.0,1582.5922369765067,5376750.0,2520.0,2133.6309523809523,15130953.0,5397.0,2803.585881045025,5806970.0,2606.0,2228.3077513430544,5500301.0,4066.0,1352.754795868175,7623238.0,3349.0,2276.272917288743,15207757.0,4669.0,3257.1764831869777,5730166.0,3334.0,1718.7060587882424
20170112,11111227.0,8855.0,1254.7969508752117,26623338.0,10178.0,2615.773039889959,5558070.0,4803.0,1157.207995003123,5553157.0,4052.0,1370.47309970385,13184770.0,4774.0,2761.786761625471,13438568.0,5404.0,2486.781643227239,5304095.0,4699.0,1128.7710151095978,5807132.0,4156.0,1397.288739172281,19518616.0,5953.0,3278.7864942046026,7104722.0,4225.0,1681.5910059171597
