,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,3998930.0,1709.0,2339.9239321240493,1806038.0,1204.0,1500.0315614617941,2009541.0,1229.0,1635.1025223759154,1989389.0,480.0,4144.560416666666,1214518.0,794.0,1529.6196473551638,591520.0,410.0,1442.7317073170732,1089600.0,755.0,1443.1788079470198,2909330.0,954.0,3049.6121593291405,976956.0,597.0,1636.4422110552764,829082.0,607.0,1365.8682042833607
20170104,2072964.0,595.0,3483.9731092436973,1876032.0,1111.0,1688.5976597659767,1021828.0,412.0,2480.1650485436894,1051136.0,183.0,5743.912568306011,1377768.0,770.0,1789.3090909090909,498264.0,341.0,1461.184750733138,615468.0,339.0,1815.5398230088495,1457496.0,256.0,5693.34375,1286376.0,736.0,1747.7934782608695,589656.0,375.0,1572.416
20170105,1716712.0,684.0,2509.812865497076,1572705.0,734.0,2142.649863760218,914412.0,417.0,2192.834532374101,802300.0,267.0,3004.868913857678,1197317.0,508.0,2356.9232283464567,375388.0,226.0,1661.0088495575221,653812.0,412.0,1586.9223300970873,1062900.0,272.0,3907.720588235294,1033501.0,432.0,2392.363425925926,539204.0,302.0,1785.4437086092714
20170106,2899320.0,766.0,3785.0130548302873,2257746.0,970.0,2327.5731958762885,428152.0,204.0,2098.7843137254904,2471168.0,562.0,4397.096085409253,730774.0,266.0,2747.2706766917295,1526972.0,704.0,2168.994318181818,859466.0,423.0,2031.8345153664302,2039854.0,343.0,5947.096209912536,1545236.0,562.0,2749.5302491103203,712510.0,408.0,1746.3480392156862
20170109,1815828.0,1087.0,1670.494940202392,4246916.0,1897.0,2238.7538218239324,1579022.0,923.0,1710.7497291440955,236806.0,164.0,1443.939024390244,3658122.0,1678.0,2180.0488676996424,588794.0,219.0,2688.557077625571,1135246.0,759.0,1495.7127799736495,680582.0,328.0,2074.9451219512193,3517258.0,1369.0,2569.216946676406,729658.0,528.0,1381.9280303030303
20170110,1985011.0,570.0,3482.475438596491,2437699.0,1879.0,1297.338477913784,1050604.0,349.0,3010.32664756447,934407.0,221.0,4228.085972850678,1564706.0,1217.0,1285.707477403451,872993.0,662.0,1318.7205438066464,742204.0,292.0,2541.794520547945,1242807.0,278.0,4470.528776978417,1402706.0,1030.0,1361.8504854368932,1034993.0,849.0,1219.073027090695
20170111,660212.0,370.0,1784.3567567567568,1526380.0,592.0,2578.3445945945946,401592.0,253.0,1587.3201581027668,258620.0,117.0,2210.4273504273506,941500.0,330.0,2853.030303030303,584880.0,262.0,2232.3664122137407,320892.0,210.0,1528.057142857143,339320.0,160.0,2120.75,829808.0,310.0,2676.8,696572.0,282.0,2470.113475177305
20170112,769713.0,558.0,1379.4139784946237,1867272.0,583.0,3202.867924528302,629113.0,484.0,1299.8202479338843,,,,1583872.0,459.0,3450.7015250544664,283400.0,124.0,2285.483870967742,543613.0,433.0,1255.45727482679,226100.0,125.0,1808.8,1731372.0,505.0,3428.459405940594,,,
