,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,6607637.0,1250.0,5286.1096,7974299.0,1378.0,5786.864296081278,2747874.0,552.0,4978.032608695652,3859763.0,698.0,5529.746418338109,3075451.0,376.0,8179.390957446809,4898848.0,1002.0,4889.069860279441,1961470.0,439.0,4468.041002277904,4646167.0,811.0,5728.93588162762,3314304.0,302.0,10974.51655629139,4659995.0,1076.0,4330.850371747212
20170104,13770768.0,2280.0,6039.8105263157895,18119733.0,1988.0,9114.553822937625,6517050.0,1217.0,5355.012325390304,7253718.0,1063.0,6823.817497648166,9574203.0,559.0,17127.375670840785,8545530.0,1429.0,5980.0769769069275,5094321.0,1137.0,4480.493403693931,8676447.0,1143.0,7590.942257217847,10844429.0,873.0,12422.026345933562,7275304.0,1115.0,6524.936322869955
20170105,31616893.0,6228.0,5076.57241490045,20956811.0,3786.0,5535.343634442684,14779708.0,2348.0,6294.594548551959,16837185.0,3880.0,4339.480670103093,9635130.0,1470.0,6554.510204081633,11321681.0,2316.0,4888.463298791019,9281174.0,2368.0,3919.414695945946,22335719.0,3860.0,5786.455699481865,8680816.0,1393.0,6231.741564967696,12275995.0,2393.0,5129.960300877559
20170106,16602870.0,2983.0,5565.829701642641,16581285.0,2962.0,5598.003038487508,6324898.0,1459.0,4335.091158327622,10277972.0,1524.0,6744.0761154855645,9913743.0,1728.0,5737.119791666667,6667542.0,1234.0,5403.194489465154,6653408.0,1455.0,4572.789003436426,9949462.0,1528.0,6511.428010471204,10623509.0,1520.0,6989.1506578947365,5957776.0,1442.0,4131.606102635229
20170109,7824775.0,1722.0,4544.004065040651,11923195.0,2000.0,5961.5975,6665775.0,1534.0,4345.355280312908,1159000.0,188.0,6164.893617021276,10890910.0,1804.0,6037.089800443459,1032285.0,196.0,5266.760204081633,3822612.0,955.0,4002.7350785340313,4002163.0,767.0,5217.943937418514,6996301.0,1109.0,6308.65734896303,4926894.0,891.0,5529.622895622896
20170110,21123376.0,2877.0,7342.153632255822,18542779.0,4006.0,4628.751622566151,8868709.0,1211.0,7323.459124690338,12254667.0,1666.0,7355.7424969988,9483802.0,1844.0,5143.059652928417,9058977.0,2162.0,4190.09111933395,5602927.0,1379.0,4063.0362581580857,15520449.0,1498.0,10360.780373831776,10821742.0,2072.0,5222.848455598456,7721037.0,1934.0,3992.2631851085835
20170111,14116943.0,2750.0,5133.433818181818,15753801.0,3222.0,4889.447858472998,8213473.0,1900.0,4322.880526315789,5903470.0,850.0,6945.2588235294115,10032336.0,2072.0,4841.861003861004,5721465.0,1150.0,4975.186956521739,4981884.0,1334.0,3734.5457271364317,9135059.0,1416.0,6451.312853107344,10084689.0,1834.0,5498.739912758997,5669112.0,1388.0,4084.3746397694526
20170112,9106816.0,2156.0,4223.940630797773,21172687.0,2753.0,7690.768979295314,4836024.0,1213.0,3986.8293487221763,4270792.0,943.0,4528.941675503712,11503402.0,1511.0,7613.105228325612,9669285.0,1242.0,7785.253623188406,5548193.0,1376.0,4032.1170058139537,3558623.0,780.0,4562.337179487179,17023382.0,1837.0,9266.94719651606,4149305.0,916.0,4529.808951965066
