,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActBid,ActBid,ActBid,ActBid,ActBid,ActBid,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer,ActOffer
,Sum,Freq,Avg,Sum,Freq,Avg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,LowerSum,LowerFreq,LowerAvg,UpperSum,UpperFreq,UpperAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg,DecreaseSum,DecreaseFreq,DecreaseAvg,IncreaseSum,IncreaseFreq,IncreaseAvg
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170103,2092305.0,821.0,2548.4835566382462,960746.0,539.0,1782.4601113172541,718216.0,276.0,2602.231884057971,1374089.0,545.0,2521.264220183486,314342.0,175.0,1796.24,646404.0,364.0,1775.8351648351647,222787.0,160.0,1392.41875,1869518.0,661.0,2828.317700453858,,,,803428.0,486.0,1653.1440329218108
20170104,1609004.0,712.0,2259.8370786516853,1509859.0,692.0,2181.877167630058,388498.0,185.0,2099.9891891891893,1220506.0,527.0,2315.9506641366224,227616.0,134.0,1698.6268656716418,1282243.0,558.0,2297.9265232974913,604274.0,364.0,1660.0934065934066,1004730.0,348.0,2887.155172413793,1142705.0,372.0,3071.787634408602,367154.0,320.0,1147.35625
20170105,1026506.0,594.0,1728.1245791245792,1583501.0,347.0,4563.403458213256,676815.0,382.0,1771.7670157068062,349691.0,212.0,1649.4858490566037,1124562.0,211.0,5329.677725118483,458939.0,136.0,3374.551470588235,695470.0,414.0,1679.87922705314,331036.0,180.0,1839.088888888889,1358867.0,278.0,4888.010791366906,,,
20170106,896456.0,597.0,1501.601340033501,1056266.0,320.0,3300.83125,260011.0,158.0,1645.639240506329,636445.0,439.0,1449.7608200455581,,,,653684.0,230.0,2842.104347826087,448331.0,349.0,1284.6160458452723,448125.0,248.0,1806.9556451612902,705806.0,194.0,3638.175257731959,350460.0,126.0,2781.4285714285716
20170109,2492772.0,951.0,2621.211356466877,1557881.0,457.0,3408.929978118162,997515.0,615.0,1621.9756097560976,1495257.0,336.0,4450.169642857143,637854.0,238.0,2680.0588235294117,920027.0,219.0,4201.036529680366,466990.0,285.0,1638.561403508772,2025782.0,666.0,3041.714714714715,,,,1356511.0,375.0,3617.362666666667
20170110,702240.0,426.0,1648.4507042253522,1804897.0,521.0,3464.2936660268715,639340.0,358.0,1785.8659217877096,,,,1607497.0,435.0,3695.3954022988505,,,,395560.0,251.0,1575.9362549800796,306680.0,175.0,1752.4571428571428,1424688.0,360.0,3957.4666666666667,380209.0,161.0,2361.5465838509317
20170111,1397478.0,1137.0,1229.0923482849605,2778295.0,795.0,3494.710691823899,993905.0,653.0,1522.0597243491577,403573.0,484.0,833.8285123966942,1709759.0,429.0,3985.4522144522143,1068536.0,366.0,2919.497267759563,756925.0,727.0,1041.162310866575,640553.0,410.0,1562.3243902439024,2404711.0,585.0,4110.617094017094,373584.0,210.0,1778.9714285714285
20170112,946831.0,676.0,1400.637573964497,578304.0,333.0,1736.6486486486488,597282.0,383.0,1559.4830287206266,349549.0,293.0,1193.0,372853.0,203.0,1836.7142857142858,205451.0,130.0,1580.3923076923077,479621.0,269.0,1782.9776951672864,467210.0,407.0,1147.9361179361179,274453.0,123.0,2231.3252032520327,303851.0,210.0,1446.9095238095238
